Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,100.900002,102.190002,100.809998,102.169998,97.172630,1369900
2020-01-03,101.419998,102.010002,100.360001,101.849998,96.868271,1145500
2020-01-06,101.430000,101.800003,101.059998,101.790001,96.811218,1454100
2020-01-07,101.750000,102.239998,101.540001,101.970001,96.982407,1388600
2020-01-08,100.470001,102.980003,100.339996,102.150002,97.153595,1521500
2020-01-09,102.570000,104.019997,102.400002,102.959999,97.923981,1790100
2020-01-10,102.730003,102.889999,101.540001,101.690002,96.716110,1462400
2020-01-13,101.739998,102.059998,100.279999,100.339996,95.432129,1569700
2020-01-14,100.190002,100.970001,99.910004,100.720001,95.793549,2024400
2020-01-15,100.860001,101.790001,100.750000,101.239998,96.288109,1607100
2020-01-16,101.550003,102.309998,101.330002,102.160004,97.163124,1191800
2020-01-17,103.239998,105.610001,103.169998,105.400002,100.244637,4060400
2020-01-21,104.680000,105.629997,104.510002,105.599998,100.434845,3494300
2020-01-22,106.010002,107.000000,105.919998,106.489998,101.281311,2020800
2020-01-23,105.809998,106.080002,105.120003,105.980003,100.796272,2128600
2020-01-24,106.089996,106.199997,104.110001,104.980003,99.845177,2268800
2020-01-27,103.620003,104.769997,102.629997,104.389999,99.284035,1833500
2020-01-28,104.739998,105.089996,104.320000,104.820000,99.692986,1672500
2020-01-29,104.900002,106.809998,104.720001,106.629997,101.414467,1401800
2020-01-30,105.470001,106.650002,104.769997,106.599998,101.385933,1480000
2020-01-31,106.580002,106.820000,105.349998,105.769997,100.596519,2117400
2020-02-03,105.809998,106.849998,105.250000,106.410004,101.205223,1671000
2020-02-04,106.769997,106.839996,105.860001,106.709999,101.490547,1595500
2020-02-05,107.419998,107.620003,105.730003,106.779999,101.557121,1814400
2020-02-06,102.000000,104.089996,101.110001,103.739998,98.665825,3271600
2020-02-07,101.760002,102.620003,100.750000,102.040001,97.048981,2396800
2020-02-10,102.309998,103.220001,102.050003,102.870003,97.838387,1667800
2020-02-11,103.129997,104.309998,102.839996,104.050003,98.960678,2234400
2020-02-12,104.559998,105.599998,103.800003,105.339996,100.187569,1784200
2020-02-13,104.639999,105.660004,104.360001,105.029999,100.340424,1135100
2020-02-14,105.010002,105.720001,104.629997,105.279999,100.579254,1249700
2020-02-18,105.169998,105.190002,103.580002,104.029999,99.385071,1934600
2020-02-19,104.449997,105.580002,104.220001,105.190002,100.493286,1875400
2020-02-20,104.870003,105.180000,102.160004,103.870003,99.232231,1216300
2020-02-21,103.550003,103.889999,102.959999,103.510002,98.888290,1015100
2020-02-24,101.870003,102.639999,100.120003,100.250000,95.773857,1539100
2020-02-25,100.730003,101.349998,97.529999,97.949997,93.576546,2389000
2020-02-26,98.300003,99.410004,97.470001,97.500000,93.146629,3382500
2020-02-27,95.790001,96.690002,92.650002,92.669998,88.532303,3850300
2020-02-28,90.639999,91.730003,87.559998,89.250000,85.265007,4238900
2020-03-02,89.250000,92.550003,89.209999,92.529999,88.398544,2408900
2020-03-03,92.529999,94.680000,90.000000,91.309998,87.233009,2430900
2020-03-04,92.519997,94.889999,90.959999,94.629997,90.404785,2420200
2020-03-05,92.489998,92.830002,89.930000,90.919998,86.860428,2171600
